Organização,Deployment,accounts,business,consents,credit-card,financings,invoice-financings,loans,personal,resources,unarranged-overdraft
BANCO DO BRASIL S.A.,API BB v2,[10-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/accounts/2.0.1/00000000_API%20BB%20v2_accounts_v2-OL_10-10-2022.zip),[04-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/business/2.0.1/00000000_API%20BB%20v2_business_v2-OL_04-10-2022.zip),[05-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.0.1/00000000_API%20BB%20v2_consents_v2-OL_05-10-2022.zip),[04-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/credit-card/2.0.1/00000000_API%20BB%20v2_credit-card_v2-OL_04-10-2022.zip),[05-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/financings/2.0.1/00000000_API%20BB%20v2_financings_v2-OL_05-10-2022.zip),[05-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/invoice-financings/2.0.1/00000000_API%20BB%20v2_invoice-financings_v2-OL_05-10-2022.zip),[04-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/loans/2.0.1/00000000_API%20BB%20v2_loans_v2-OL_04-10-2022.zip),[04-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/personal/2.0.1/00000000_API%20BB%20v2_personal_v2-OL_04-10-2022.zip),[07-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.0.1/00000000_API%20BB%20v2_resources_v2-OL_07-10-2022.zip),[05-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/unarranged-overdraft/2.0.1/00000000_API%20BB%20v2_unarranged-overdraft_v2-OL_05-10-2022.zip)
CAIXA ECONOMICA FEDERAL,Caixa Econômica Federal,[04-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/accounts/2.0.1/00360305_Caixa%20Econômica%20Federal_accounts_v2-OL_04-10-2022.zip),[04-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/business/2.0.1/00360305_Caixa%20Econômica%20Federal_business_v2-OL_04-10-2022.zip),[04-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.0.1/00360305_Caixa%20Econômica%20Federal_consents_v2-OL_04-10-2022.zip),[04-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/credit-card/2.0.1/00360305_Caixa%20Econômica%20Federal_credit-card_v2-OL_04-10-2022.zip),[04-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/financings/2.0.1/00360305_Caixa%20Econômica%20Federal_financings_v2-OL_04-10-2022.zip),[04-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/invoice-financings/2.0.1/00360305_Caixa%20Econômica%20Federal_invoice-financings_v2-OL_04-10-2022.zip),[04-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/loans/2.0.1/00360305_Caixa%20Econômica%20Federal_loans_v2-OL_04-10-2022.zip),[04-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/personal/2.0.1/00360305_Caixa%20Econômica%20Federal_personal_v2-OL_04-10-2022.zip),[04-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.0.1/00360305_Caixa%20Econômica%20Federal_resources_v2-OL_04-10-2022.zip),[06-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/unarranged-overdraft/2.0.1/00360305_Caixa%20Econômica%20Federal_unarranged-overdraft_v2-OL_06-10-2022.zip)
BANCO COOPERATIVO SICREDI S.A.,Open Finance 2.0.1,[06-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/accounts/2.0.1/01181521_Open%20Finance%202.0.1_accounts_v2-OL_06-10-2022.zip),[28-09-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/business/2.0.1/01181521_Open%20Finance%202.0.1_business_v2-OL_28-09-2022.zip),[30-09-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.0.1/01181521_Open%20Finance%202.0.1_consents_v2-OL_30-09-2022.zip),[03-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/credit-card/2.0.1/01181521_Open%20Finance%202.0.1_credit-card_v2-OL_03-10-2022.zip),[28-09-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/financings/2.0.1/01181521_Open%20Finance%202.0.1_financings_v2-OL_28-09-2022.zip),[28-09-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/invoice-financings/2.0.1/01181521_Open%20Finance%202.0.1_invoice-financings_v2-OL_28-09-2022.zip),[30-09-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/loans/2.0.1/01181521_Open%20Finance%202.0.1_loans_v2-OL_30-09-2022.zip),[28-09-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/personal/2.0.1/01181521_Open%20Finance%202.0.1_personal_v2-OL_28-09-2022.zip),[03-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.0.1/01181521_Open%20Finance%202.0.1_resources_v2-OL_03-10-2022.zip),[03-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/unarranged-overdraft/2.0.1/01181521_Open%20Finance%202.0.1_unarranged-overdraft_v2-OL_03-10-2022.zip)
BANCO COOPERATIVO SICOOB S.A. - BANCO SICOOB,Accounts API Test 2.0.1,[11-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/accounts/2.0.1/02038232_Accounts%20API%20Test%202.0.1_accounts_v2_11-10-2022.zip),,,,,,,,,
BANCO DO NORDESTE DO BRASIL S.A.,BNB Open Banking Brasil 2.0.1,[10-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/accounts/2.0.1/07237373_BNB%20Open%20Banking%20Brasil%202.0.1_accounts_v2-OL_10-10-2022.zip),[10-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/business/2.0.1/07237373_BNB%20Open%20Banking%20Brasil%202.0.1_business_v2-OL_10-10-2022.zip),[10-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.0.1/07237373_BNB%20Open%20Banking%20Brasil%202.0.1_consents_v2-OL_10-10-2022.zip),[10-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/credit-card/2.0.1/07237373_BNB%20Open%20Banking%20Brasil%202.0.1_credit-card_v2-OL_10-10-2022.zip),,,[10-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/loans/2.0.1/07237373_BNB%20Open%20Banking%20Brasil%202.0.1_loans_v2-OL_10-10-2022.zip),[10-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/personal/2.0.1/07237373_BNB%20Open%20Banking%20Brasil%202.0.1_personal_v2-OL_10-10-2022.zip),[10-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.0.1/07237373_BNB%20Open%20Banking%20Brasil%202.0.1_resources_v2-OL_10-10-2022.zip),
BANCO DO NORDESTE DO BRASIL S.A.,BNB Open Finance Brasil 2.0.1,[21-11-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/accounts/2.0.1/07237373_BNB%20Open%20Finance%20Brasil%202.0.1_accounts_v2-OL_21-11-2022.zip),[21-11-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/business/2.0.1/07237373_BNB%20Open%20Finance%20Brasil%202.0.1_business_v2-OL_21-11-2022.zip),[21-11-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.0.1/07237373_BNB%20Open%20Finance%20Brasil%202.0.1_consents_v2-OL_21-11-2022.zip),[21-11-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/credit-card/2.0.1/07237373_BNB%20Open%20Finance%20Brasil%202.0.1_credit-card_v2-OL_21-11-2022.zip),,,[21-11-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/loans/2.0.1/07237373_BNB%20Open%20Finance%20Brasil%202.0.1_loans_v2-OL_21-11-2022.zip),[21-11-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/personal/2.0.1/07237373_BNB%20Open%20Finance%20Brasil%202.0.1_personal_v2-OL_21-11-2022.zip),[21-11-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.0.1/07237373_BNB%20Open%20Finance%20Brasil%202.0.1_resources_v2-OL_21-11-2022.zip),
MERCADO PAGO INSTITUICAO DE PAGAMENTO LTDA,Mercado Pago Open Banking v2.0,[05-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/accounts/2.0.1/10573521_Mercado%20Pago%20Open%20Banking%20v2.0_accounts_v2-OL_05-10-2022.zip),[05-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/business/2.0.1/10573521_Mercado%20Pago%20Open%20Banking%20v2.0_business_v2-OL_05-10-2022.zip),[07-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.0.1/10573521_Mercado%20Pago%20Open%20Banking%20v2.0_consents_v2-OL_07-10-2022.zip),[05-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/credit-card/2.0.1/10573521_Mercado%20Pago%20Open%20Banking%20v2.0_credit-card_v2-OL_05-10-2022.zip),[05-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/financings/2.0.1/10573521_Mercado%20Pago%20Open%20Banking%20v2.0_financings_v2-OL_05-10-2022.zip),,[05-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/loans/2.0.1/10573521_Mercado%20Pago%20Open%20Banking%20v2.0_loans_v2-OL_05-10-2022.zip),[05-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/personal/2.0.1/10573521_Mercado%20Pago%20Open%20Banking%20v2.0_personal_v2-OL_05-10-2022.zip),[05-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.0.1/10573521_Mercado%20Pago%20Open%20Banking%20v2.0_resources_v2-OL_05-10-2022.zip),
BANCO BOCOM BBM S.A.,BOCOM BBM Open Banking 2.0.1,[06-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/accounts/2.0.1/15114366_BOCOM%20BBM%20Open%20Banking%202.0.1_accounts_v2-OL_06-10-2022.zip),[06-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/business/2.0.1/15114366_BOCOM%20BBM%20Open%20Banking%202.0.1_business_v2-OL_06-10-2022.zip),[06-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.0.1/15114366_BOCOM%20BBM%20Open%20Banking%202.0.1_consents_v2-OL_06-10-2022.zip),,[06-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/financings/2.0.1/15114366_BOCOM%20BBM%20Open%20Banking%202.0.1_financings_v2-OL_06-10-2022.zip),[06-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/invoice-financings/2.0.1/15114366_BOCOM%20BBM%20Open%20Banking%202.0.1_invoice-financings_v2-OL_06-10-2022.zip),[06-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/loans/2.0.1/15114366_BOCOM%20BBM%20Open%20Banking%202.0.1_loans_v2-OL_06-10-2022.zip),[06-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/personal/2.0.1/15114366_BOCOM%20BBM%20Open%20Banking%202.0.1_personal_v2-OL_06-10-2022.zip),[13-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.0.1/15114366_BOCOM%20BBM%20Open%20Banking%202.0.1_resources_v2-OL_13-10-2022.zip),
NU PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO,Nu Open Banking 1.0.0,[10-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/accounts/2.0.1/18236120_Nu%20Open%20Banking%201.0.0_accounts_v2-OL_10-10-2022.zip),[10-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/business/2.0.1/18236120_Nu%20Open%20Banking%201.0.0_business_v2-OL_10-10-2022.zip),[17-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.0.1/18236120_Nu%20Open%20Banking%201.0.0_consents_v2-OL_17-10-2022.zip),[10-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/credit-card/2.0.1/18236120_Nu%20Open%20Banking%201.0.0_credit-card_v2-OL_10-10-2022.zip),,,[10-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/loans/2.0.1/18236120_Nu%20Open%20Banking%201.0.0_loans_v2-OL_10-10-2022.zip),[10-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/personal/2.0.1/18236120_Nu%20Open%20Banking%201.0.0_personal_v2-OL_10-10-2022.zip),[10-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.0.1/18236120_Nu%20Open%20Banking%201.0.0_resources_v2-OL_10-10-2022.zip),
PICPAY SERVICOS S.A.,PicPay Open Banking 2.0.0,[07-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/accounts/2.0.1/22896431_PicPay%20Open%20Banking%202.0.0_accounts_v2-OL_07-10-2022.zip),[07-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/business/2.0.1/22896431_PicPay%20Open%20Banking%202.0.0_business_v2-OL_07-10-2022.zip),[07-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.0.1/22896431_PicPay%20Open%20Banking%202.0.0_consents_v2-OL_07-10-2022.zip),[28-09-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/credit-card/2.0.1/22896431_PicPay%20Open%20Banking%202.0.0_credit-card_v2-OL_28-09-2022.zip),,,[07-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/loans/2.0.1/22896431_PicPay%20Open%20Banking%202.0.0_loans_v2-OL_07-10-2022.zip),[07-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/personal/2.0.1/22896431_PicPay%20Open%20Banking%202.0.0_personal_v2-OL_07-10-2022.zip),[07-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.0.1/22896431_PicPay%20Open%20Banking%202.0.0_resources_v2-OL_07-10-2022.zip),
BANCO DIGIO S.A.,Digio - F2 Opus OOB v1,[03-01-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/accounts/2.0.1/27098060_Digio%20-%20F2%20Opus%20OOB%20v1_accounts_v2-OL_03-01-2023.zip),,[14-12-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.0.1/27098060_Digio%20-%20F2%20Opus%20OOB%20v1_consents_v2-OL_14-12-2022.zip),[23-12-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/credit-card/2.0.1/27098060_Digio%20-%20F2%20Opus%20OOB%20v1_credit-card_v2-OL_23-12-2022.zip),,,[23-12-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/loans/2.0.1/27098060_Digio%20-%20F2%20Opus%20OOB%20v1_loans_v2-OL_23-12-2022.zip),[14-12-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/personal/2.0.1/27098060_Digio%20-%20F2%20Opus%20OOB%20v1_personal_v2-OL_14-12-2022.zip),[23-12-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.0.1/27098060_Digio%20-%20F2%20Opus%20OOB%20v1_resources_v2-OL_23-12-2022.zip),
BANCO DIGIO S.A.,Digio Uber - F2 Opus OOB v1,[03-01-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/accounts/2.0.1/27098060_Digio%20Uber%20-%20F2%20Opus%20OOB%20v1_accounts_v2-OL_03-01-2023.zip),,[14-12-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.0.1/27098060_Digio%20Uber%20-%20F2%20Opus%20OOB%20v1_consents_v2-OL_14-12-2022.zip),,,,[18-12-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/loans/2.0.1/27098060_Digio%20Uber%20-%20F2%20Opus%20OOB%20v1_loans_v2-OL_18-12-2022.zip),[14-12-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/personal/2.0.1/27098060_Digio%20Uber%20-%20F2%20Opus%20OOB%20v1_personal_v2-OL_14-12-2022.zip),[23-12-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.0.1/27098060_Digio%20Uber%20-%20F2%20Opus%20OOB%20v1_resources_v2-OL_23-12-2022.zip),
BANCO BTG PACTUAL S.A.,Banco BTG Pactual Open Banking v2.0 - CORPORATE,[29-09-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/accounts/2.0.1/30306294_Banco%20BTG%20Pactual%20Open%20Banking%20v2.0%20-%20CORPORATE_accounts_v2-OL_29-09-2022.zip),[11-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/business/2.0.1/30306294_Banco%20BTG%20Pactual%20Open%20Banking%20v2.0%20-%20CORPORATE_business_v2-OL_11-10-2022.zip),[10-10-2020](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.0.1/30306294_Banco%20BTG%20Pactual%20Open%20Banking%20v2.0%20-%20CORPORATE_consents_v2-OL_10-10-2020.zip),[07-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/credit-card/2.0.1/30306294_Banco%20BTG%20Pactual%20Open%20Banking%20v2.0%20-%20CORPORATE_credit-card_v2-OL_07-10-2022.zip),[29-09-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/financings/2.0.1/30306294_Banco%20BTG%20Pactual%20Open%20Banking%20v2.0%20-%20CORPORATE_financings_v2-OL_29-09-2022.zip),[30-09-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/invoice-financings/2.0.1/30306294_Banco%20BTG%20Pactual%20Open%20Banking%20v2.0%20-%20CORPORATE_invoice-financings_v2-OL_30-09-2022.zip),[06-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/loans/2.0.1/30306294_Banco%20BTG%20Pactual%20Open%20Banking%20v2.0%20-%20CORPORATE_loans_v2-OL_06-10-2022.zip),,[10-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.0.1/30306294_Banco%20BTG%20Pactual%20Open%20Banking%20v2.0%20-%20CORPORATE_resources_v2-OL_10-10-2022.zip),[04-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/unarranged-overdraft/2.0.1/30306294_Banco%20BTG%20Pactual%20Open%20Banking%20v2.0%20-%20CORPORATE_unarranged-overdraft_v2-OL_04-10-2022.zip)
BANCO BTG PACTUAL S.A.,Banco BTG Pactual Open Banking v2.0 - DIGITAL,[29-09-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/accounts/2.0.1/30306294_Banco%20BTG%20Pactual%20Open%20Banking%20v2.0%20-%20DIGITAL_accounts_v2-OL_29-09-2022.zip),,[26-09-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.0.1/30306294_Banco%20BTG%20Pactual%20Open%20Banking%20v2.0%20-%20DIGITAL_consents_v2-OL_26-09-2022.zip),[06-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/credit-card/2.0.1/30306294_Banco%20BTG%20Pactual%20Open%20Banking%20v2.0%20-%20DIGITAL_credit-card_v2-OL_06-10-2022.zip),[29-09-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/financings/2.0.1/30306294_Banco%20BTG%20Pactual%20Open%20Banking%20v2.0%20-%20DIGITAL_financings_v2-OL_29-09-2022.zip),[29-09-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/invoice-financings/2.0.1/30306294_Banco%20BTG%20Pactual%20Open%20Banking%20v2.0%20-%20DIGITAL_invoice-financings_v2-OL_29-09-2022.zip),[06-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/loans/2.0.1/30306294_Banco%20BTG%20Pactual%20Open%20Banking%20v2.0%20-%20DIGITAL_loans_v2-OL_06-10-2022.zip),[29-09-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/personal/2.0.1/30306294_Banco%20BTG%20Pactual%20Open%20Banking%20v2.0%20-%20DIGITAL_personal_v2-OL_29-09-2022.zip),[07-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.0.1/30306294_Banco%20BTG%20Pactual%20Open%20Banking%20v2.0%20-%20DIGITAL_resources_v2-OL_07-10-2022.zip),[04-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/unarranged-overdraft/2.0.1/30306294_Banco%20BTG%20Pactual%20Open%20Banking%20v2.0%20-%20DIGITAL_unarranged-overdraft_v2-OL_04-10-2022.zip)
BANCO BTG PACTUAL S.A.,Banco BTG Pactual Open Banking v2.0 - MAIS-BUSINESS,[10-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/accounts/2.0.1/30306294_Banco%20BTG%20Pactual%20Open%20Banking%20v2.0%20-%20MAIS-BUSINESS_accounts_v2-OL_10-10-2022.zip),[11-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/business/2.0.1/30306294_Banco%20BTG%20Pactual%20Open%20Banking%20v2.0%20-%20MAIS-BUSINESS_business_v2-OL_11-10-2022.zip),[10-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.0.1/30306294_Banco%20BTG%20Pactual%20Open%20Banking%20v2.0%20-%20MAIS-BUSINESS_consents_v2-OL_10-10-2022.zip),[07-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/credit-card/2.0.1/30306294_Banco%20BTG%20Pactual%20Open%20Banking%20v2.0%20-%20MAIS-BUSINESS_credit-card_v2-OL_07-10-2022.zip),[29-09-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/financings/2.0.1/30306294_Banco%20BTG%20Pactual%20Open%20Banking%20v2.0%20-%20MAIS-BUSINESS_financings_v2-OL_29-09-2022.zip),[05-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/invoice-financings/2.0.1/30306294_Banco%20BTG%20Pactual%20Open%20Banking%20v2.0%20-%20MAIS-BUSINESS_invoice-financings_v2-OL_05-10-2022.zip),[05-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/loans/2.0.1/30306294_Banco%20BTG%20Pactual%20Open%20Banking%20v2.0%20-%20MAIS-BUSINESS_loans_v2-OL_05-10-2022.zip),,[10-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.0.1/30306294_Banco%20BTG%20Pactual%20Open%20Banking%20v2.0%20-%20MAIS-BUSINESS_resources_v2-OL_10-10-2022.zip),
